State,Population,"GSDP
(million rs)","GSDP 
(billion $)",Literacy %,GSDP Per Capita (million Rs.),State Codes
Andhra Pradesh,49577103,11338365,152.2,66.9,228702,AP
Bihar,104099452,6503024.3,87.3,70.9,62469,BH
Chhattisgarh,25545198,4064158.2,54.6,77.3,159097,CG
Goa,1458545,826037,11.1,87.4,566343,GA
Gujarat,60439692,19770664.6,265.4,82.4,327114,GJ
Haryana,25351462,8706645.3,116.9,80.4,343438,HR
Himachal Pradesh,6864602,1762694.7,23.7,86.6,256780,HP
Jharkhand,32988134,3588625.9,48.1,74.3,108785,JH
Karnataka,61095297,19627254.2,263.5,77.2,321256,KA
Kerala,33406061,9324699.6,125.2,96.2,279132,KE
Madhya Pradesh,72626809,11361371.9,152.5,73.7,156435,MP
Maharashtra,112374333,31080218.7,417.2,84.8,276578,MH
Odisha,41974219,6708812.3,90.1,77.3,159832,OD
Punjab,27743338,6142267.6,82.4,83.7,221396,PB
Rajasthan,68548437,12181934.5,163.5,69.7,177713,RJ
Tamil Nadu,72147030,20712861.6,278,82.9,287092,TN
Telangana,35003674,11289072.4,151.5,65.1,322511,TL
Uttar Pradesh,199812341,19745315.5,265.1,73,98819,UP
Uttarakhand,10086292,2721594.8,36.5,87.6,269831,UK
West Bengal,91276115,13639258.6,183.1,80.5,149429,WB
Delhi,16787941,10830000,130,86.3,645106,DL
North-East States,45486784,6829584.6,91.6,84.28,150144,NE
Jammu and Kashmir,12267032,1999174.2,26.8,77.3,162971,JK